,column,ontologies
1210,Wender Utah Rating Scale: As a child I was (or had): 21. Feel angry,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/75408008', 'http://semanticscience.org/resource/SIO_000410']"
1211,"Wender Utah Rating Scale: As a child I was (or had): 22. Have friends, popular","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA27352-6']"
1212,"Wender Utah Rating Scale: As a child I was (or had): 23. Well organized, tidy, neat","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/385650005']"
1213,"Wender Utah Rating Scale: As a child I was (or had): 24. Acting without thinking, impulsive","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.obolibrary.org/obo/GSSO_008790', 'http://purl.bioontology.org/ontology/SNOMEDCT/88952004', 'http://purl.bioontology.org/ontology/MESH/D013850', 'http://purl.obolibrary.org/obo/HP_0100710']"
1214,Wender Utah Rating Scale: As a child I was (or had): 25. Tend to be immature,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/1090009']"
1215,"Wender Utah Rating Scale: As a child I was (or had): 26. Feel guilty, regretful","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://semanticscience.org/resource/SIO_000841', 'http://purl.bioontology.org/ontology/LNC/LA16659-7']"
1216,Wender Utah Rating Scale: As a child I was (or had): 27. Lose control of myself,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LP7741-4', 'http://purl.obolibrary.org/obo/NCIT_C61299', 'http://purl.bioontology.org/ontology/SNOMEDCT/246106000', 'http://purl.obolibrary.org/obo/GSSO_000805']"
1217,Wender Utah Rating Scale: As a child I was (or had): 28. Tend to be or act irrational,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LP186136-0', 'http://purl.bioontology.org/ontology/OMIM/602587', 'http://purl.bioontology.org/ontology/OMIM/107280', 'http://purl.bioontology.org/ontology/OMIM/605126']"
1218,"Wender Utah Rating Scale: As a child I was (or had): 29. Unpopular with other children, didn’t keep
friends for long, didn’t get along with other children","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA27352-6', 'http://purl.bioontology.org/ontology/OMIM/MTHU015091', 'http://purl.bioontology.org/ontology/SNOMEDCT/255511005']"
1219,"Wender Utah Rating Scale: As a child I was (or had): 30. Poorly coordinated, did not participate in sports","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/556001', 'http://purl.bioontology.org/ontology/SNOMEDCT/162258009', 'http://purl.bioontology.org/ontology/LNC/LA9373-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/415577004', 'http://purl.bioontology.org/ontology/SNOMEDCT/14468000']"
1220,Wender Utah Rating Scale: As a child I was (or had): 31. Afraid of losing control of self,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/1402001', 'http://purl.bioontology.org/ontology/LNC/LA16668-8', 'http://purl.bioontology.org/ontology/LNC/LP7741-4', 'http://purl.obolibrary.org/obo/NCIT_C61299', 'http://purl.bioontology.org/ontology/SNOMEDCT/246106000', 'http://purl.obolibrary.org/obo/GSSO_000805', 'http://purl.bioontology.org/ontology/LNC/LA15312-4']"
1221,"Wender Utah Rating Scale: As a child I was (or had): 32. Well coordinated, picked first in games","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/162258009']"
1222,Wender Utah Rating Scale: As a child I was (or had): 33. (for women only) Tomboyish,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1223,Wender Utah Rating Scale: As a child I was (or had): 34. Ran away from home,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/266953009', 'http://purl.bioontology.org/ontology/OMIM/601179', 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9846', 'http://purl.bioontology.org/ontology/LNC/LA14084-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/264362003']"
1224,Wender Utah Rating Scale: As a child I was (or had): 35. Get in fights,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1225,Wender Utah Rating Scale: As a child I was (or had): 36. Teased other children,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1226,"Wender Utah Rating Scale: As a child I was (or had): 37. Leader, bossy","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1227,Wender Utah Rating Scale: As a child I was (or had): 38. Difficulty getting awake,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/371157007', 'http://purl.bioontology.org/ontology/LNC/LA33709-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/248218005']"
1228,"Wender Utah Rating Scale: As a child I was (or had): 39. Follower, lead around too much","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/MTHU001584', 'http://purl.bioontology.org/ontology/LNC/LA28578-5', 'http://purl.bioontology.org/ontology/LNC/LP14259-3', 'http://purl.bioontology.org/ontology/LNC/LP268871-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/88488004', 'http://purl.bioontology.org/ontology/LNC/LA14409-9', 'http://purl.bioontology.org/ontology/LNC/LA15550-9']"
1229,Wender Utah Rating Scale: As a child I was (or had): 40. Trouble seeing things from someone else’s point of view,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/64269007', 'http://purl.bioontology.org/ontology/LNC/LP222059-0', 'http://purl.bioontology.org/ontology/LNC/LP28725-7', 'http://purl.bioontology.org/ontology/LNC/MTHU011949', 'http://purl.bioontology.org/ontology/SNOMEDCT/246516004']"
1230,"Wender Utah Rating Scale: As a child I was (or had): 41. Trouble with authorities, trouble with school, visits to principal’s office","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370', 'http://purl.bioontology.org/ontology/LNC/LA12086-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/257649000']"
1231,"Wender Utah Rating Scale: As a child I was (or had): 42. Trouble with the police, booked, convicted","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.obolibrary.org/obo/GSSO_003799', 'http://purl.bioontology.org/ontology/LNC/LA20185-7']"
1232,Wender Utah Rating Scale: Medical problems as a child: 43. Headaches,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/OMIM/MTHU036635', 'http://purl.obolibrary.org/obo/HP_0002315', 'http://purl.bioontology.org/ontology/LNC/LP217220-5', 'http://purl.bioontology.org/ontology/LNC/LA33100-1', 'http://purl.bioontology.org/ontology/LNC/MTHU053651']"
1233,Wender Utah Rating Scale: Medical problems as a child: 44. Stomachaches,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1234,Wender Utah Rating Scale: Medical problems as a child: 45. Constipation,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/MTHU020768', 'http://purl.bioontology.org/ontology/LNC/LA22282-0', 'http://purl.obolibrary.org/obo/HP_0002019', 'http://purl.bioontology.org/ontology/LNC/LP74650-0', 'http://purl.bioontology.org/ontology/OMIM/MTHU001907', 'http://purl.bioontology.org/ontology/SNOMEDCT/14760008']"
1235,Wender Utah Rating Scale: Medical problems as a child: 46. Diarrhea,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.obolibrary.org/obo/HP_0002014', 'http://purl.bioontology.org/ontology/OMIM/MTHU000226', 'http://purl.bioontology.org/ontology/LNC/MTHU013347', 'http://purl.bioontology.org/ontology/LNC/LA15424-7', 'http://purl.bioontology.org/ontology/LNC/LP74729-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/62315008']"
